gvkey,datadate,fyear,indfmt,consol,popsrc,datafmt,tic,conm,curcd,fyr,gp,revt,unnpl,xrd,costat,mkvalt,gsector,gsubind,spcseccd
001045,20101231,2010,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,12,4032.0000,22170.0000,,,A,2597.5755,20,20302010,600
001045,20111231,2011,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,12,3602.0000,24022.0000,,,A,117.3438,20,20302010,600
001045,20121231,2012,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,12,4326.0000,24855.0000,,,A,266.5571,20,20302010,600
001045,20131231,2013,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,12,7628.0000,26712.0000,,,A,6591.9923,20,20302010,600
001045,20141231,2014,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,12,13139.0000,42650.0000,,,A,37405.5843,20,20302010,600
001045,20151231,2015,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,12,15574.0000,40990.0000,,,A,26452.7417,20,20302010,600
001045,20161231,2016,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,12,14485.0000,40180.0000,,,A,23685.5569,20,20302010,600
001045,20171231,2017,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,12,13945.0000,42207.0000,,,A,24740.6812,20,20302010,600
001045,20181231,2018,INDL,C,D,STD,AAL,AMERICAN AIRLINES GROUP INC,USD,12,13176.0000,44541.0000,,,A,14790.2192,20,20302010,600
001075,20101231,2010,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12,1138.4390,3263.6450,,,A,4508.5165,55,55101010,700
001075,20111231,2011,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12,1173.5620,3241.3790,,,A,5263.4723,55,55101010,700
001075,20121231,2012,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12,1256.0910,3301.8040,,,A,5594.6981,55,55101010,700
001075,20131231,2013,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12,1262.0310,3454.6280,,,A,5830.8314,55,55101010,700
001075,20141231,2014,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12,1228.6000,3491.6320,,,A,7553.1050,55,55101010,700
001075,20151231,2015,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12,1349.0240,3495.4430,,,A,7155.9904,55,55101010,700
001075,20161231,2016,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12,1341.8130,3498.6820,,,A,8687.6261,55,55101010,700
001075,20171231,2017,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12,1468.5450,3565.2960,,,A,9519.0354,55,55101010,700
001075,20181231,2018,INDL,C,D,STD,PNW,PINNACLE WEST CAPITAL CORP,USD,12,1356.0410,3691.2470,,,A,9551.0904,55,55101010,700
001078,20101231,2010,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,23783.8340,35166.7210,,4037.6240,A,74116.0034,35,35101010,905
001078,20111231,2011,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,26673.5730,38851.2590,,4801.9140,A,88302.4112,35,35101010,905
001078,20121231,2012,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,27864.3990,39873.9100,,4610.1820,A,103271.6885,35,35101010,905
001078,20131231,2013,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,12781.0000,21848.0000,,1452.0000,A,59338.5963,35,35101010,905
001078,20141231,2014,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,12088.0000,20247.0000,,1345.0000,A,67891.7357,35,35101010,905
001078,20151231,2015,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,12683.0000,20405.0000,,1405.0000,A,66137.3852,35,35101010,905
001078,20161231,2016,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,12743.0000,20853.0000,,1422.0000,A,56572.8983,35,35101010,905
001078,20171231,2017,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,17277.0000,27390.0000,,2235.0000,A,99507.3661,35,35101010,905
001078,20181231,2018,INDL,C,D,STD,ABT,ABBOTT LABORATORIES,USD,12,19201.0000,30578.0000,,2300.0000,A,126983.9223,35,35101010,905
001161,20101231,2010,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,3148.0000,6494.0000,,1405.0000,A,5586.9400,45,45301020,940
001161,20111231,2011,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,3186.0000,6568.0000,,1453.0000,A,3769.2000,45,45301020,940
001161,20121231,2012,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,2395.0000,5422.0000,,1354.0000,A,1711.2000,45,45301020,940
001161,20131231,2013,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,2117.0000,5299.0000,,1201.0000,A,2805.7500,45,45301020,940
001161,20141231,2014,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,1954.0000,5506.0000,,1072.0000,A,2071.9200,45,45301020,940
001161,20151231,2015,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,1207.0000,3991.0000,,947.0000,A,2273.0400,45,45301020,940
001161,20161231,2016,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,1409.0000,4272.0000,,1008.0000,A,10602.9000,45,45301020,940
001161,20171231,2017,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,1900.0000,5329.0000,,1160.0000,A,9940.7600,45,45301020,940
001161,20181231,2018,INDL,C,D,STD,AMD,ADVANCED MICRO DEVICES,USD,12,2586.0000,6475.0000,,1434.0000,A,18552.3000,45,45301020,940
